0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:43 +0530] "GET /frontend/mycart HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:43 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:47 +0530] "GET /frontend/mycart HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:47 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:49 +0530] "GET /frontend/mycart HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:49 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:51 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:54 +0530] "GET /frontend/clickout HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:06 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:08 +0530] "GET /frontend/addtocart/Mob101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:08 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:10 +0530] "GET /frontend/regis HTTP/1.1" 200 5991
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:15 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:17 +0530] "GET /frontend/regis HTTP/1.1" 200 5991
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:19 +0530] "GET /frontend/click HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:22 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:45:25 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:48:39 +0530] "POST /frontend/validation HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:48:57 +0530] "POST /frontend/validation HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:49:57 +0530] "POST /frontend/validation HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:51:30 +0530] "POST /frontend/validation HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:51:39 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:55:37 +0530] "GET /frontend/selProductView HTTP/1.1" 200 7064
